138,8,6,14,0,2,2,2,4,2,2,2,4,2,24,26,2,2,2,0,2,4,2,2,4,138,2,4,16,0,20,12,2,2,2,2,2,4,0,4,2,2,12,6,2,2,10,0,2,2,2,12,54,8,2,4,2,2,8,6,6,2,4,6,2,4,28,30,2,4,20,16,12,8,4,0,20,78
8,540,408,56,0,8,8,8,16,8,8,138,274,8,96,104,8,8,8,0,8,16,8,8,16,540,8,16,64,0,80,48,8,8,8,8,8,16,0,16,8,8,48,24,8,8,40,0,8,8,8,48,216,32,8,16,8,8,32,24,24,8,16,24,8,16,112,120,8,16,80,64,48,32,16,0,80,312
6,408,408,42,0,6,6,6,12,6,6,138,274,6,72,78,6,6,6,0,6,12,6,6,12,408,6,12,48,0,60,36,6,6,6,6,6,12,0,12,6,6,36,18,6,6,30,0,6,6,6,36,162,24,6,12,6,6,24,18,18,6,12,18,6,12,84,90,6,12,60,48,36,24,12,0,60,234
14,56,42,924,0,14,14,14,28,14,14,14,28,14,168,182,14,14,14,0,14,274,138,14,28,84,14,28,924,0,924,84,14,14,14,14,138,274,0,28,14,14,84,42,14,14,70,0,14,14,14,84,378,56,14,274,138,14,56,42,42,14,28,42,14,28,196,210,14,28,140,112,84,56,28,0,140,546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,6,14,0,138,2,2,4,2,2,2,4,2,24,26,2,2,2,0,2,4,2,2,4,12,2,4,16,0,20,12,2,2,2,2,2,4,0,4,2,2,12,6,2,2,10,0,2,2,2,12,54,8,2,4,2,2,8,6,6,2,4,6,2,4,28,30,2,4,20,16,12,8,4,78,42,0
2,8,6,14,0,2,138,2,138,2,2,2,4,2,24,26,2,2,2,0,2,4,2,2,4,12,2,4,16,0,20,12,2,2,2,2,2,4,0,4,2,2,12,6,2,2,10,0,2,2,2,138,138,8,2,4,2,2,8,6,6,2,4,6,2,4,28,30,2,4,20,16,12,8,4,20,0,42
2,8,6,14,0,2,2,138,4,2,2,2,4,2,138,138,2,2,2,0,2,4,2,2,4,12,2,4,16,0,20,12,2,2,2,2,2,4,0,4,2,2,12,6,2,2,10,0,2,2,2,12,138,8,2,4,2,2,8,6,6,2,4,6,2,4,138,138,2,4,138,138,138,138,4,20,0,42
4,16,12,28,0,4,138,4,274,4,4,4,8,4,48,52,4,4,4,0,4,8,4,4,8,24,4,8,32,0,40,24,4,4,4,4,4,8,0,8,4,4,24,12,4,4,20,0,4,4,4,274,274,16,4,8,4,4,16,12,12,4,8,12,4,8,56,60,4,8,40,32,24,16,8,40,0,84
2,8,6,14,0,2,2,2,4,138,2,2,4,2,138,138,2,2,2,0,2,4,2,2,4,12,2,4,16,0,20,12,2,2,2,2,2,4,0,4,2,2,12,6,2,2,10,0,2,2,2,12,138,8,2,4,2,2,8,6,6,2,4,6,2,4,138,138,2,4,20,16,12,8,4,20,0,42
