0	22
1	202
2	571
3	117
4	22
5	46
6	39
7	82
8	332
9	30
10	21
11	97
12	33
13	28
14	79
15	422
16	24
17	53
18	25
19	128
20	70
21	22
22	57
23	25
24	36
25	302
26	474
27	183
28	25
29	24
30	25
31	86
32	24
33	35
34	80
35	24
36	23
37	22
38	29
39	102
40	43
41	44
42	45
43	22
44	32
45	150
46	74
47	116
48	27
49	47
50	70
51	78
52	25
53	32
54	83
55	24
56	60
57	22
58	46
59	67
60	230
61	63
62	88
63	25
64	317
65	26
66	562
67	30
68	35
69	33
70	28
71	24
72	22
73	158
74	23
75	61
76	67
77	122
78	213
79	33
80	155
81	28
82	28
83	52
84	44
85	27
86	27
87	86
88	26
89	31
90	31
91	266
92	27
93	739
94	34
95	22
96	23
97	36
98	64
99	25
100	103
101	64
102	612
103	195
104	100
105	97
106	35
107	70
108	25
109	25
110	41
111	472
112	23
113	23
114	32
115	307
116	23
117	53
118	57
119	28
120	117
121	22
122	29
123	36
124	34
125	188
126	42
127	22
128	22
129	866
130	25
131	197
132	121
133	23
134	26
135	85
136	32
137	326
138	21
139	323
140	292
141	31
142	30
143	55
144	234
145	37
146	23
147	35
148	461
149	436
150	76
151	24
152	36
153	29
154	21
155	27
156	50
157	49
158	68
159	301
160	25
161	25
162	52
163	24
164	51
165	48
166	176
167	85
168	234
169	24
170	31
171	56
172	26
173	48
174	70
175	113
176	24
177	2803
178	43
179	23
180	45
181	61
182	21
183	123
184	102
185	90
186	152
187	98
188	125
189	48
190	27
191	27
192	39
193	30
194	32
195	41
196	63
197	69
198	60
199	47
200	36
201	44
202	32
203	142
204	22
205	30
206	355
207	71
208	38
209	34
210	30
211	51
212	92
213	24
214	56
215	22
216	33
217	23
218	25
219	629
220	30
221	51
222	117
223	38
224	46
225	37
226	94
227	347
228	35
229	25
230	55
231	86
232	80
233	92
234	47
235	56
236	22
237	48
238	21
239	410
240	79
241	218
242	27
243	114
244	43
245	40
246	310
247	29
248	28
249	2236
250	108
251	28
252	36
253	322
254	53
255	25
256	95
257	60
258	53
259	45
260	108
261	22
262	213
263	211
264	121
265	36
266	26
267	22
268	82
269	31
270	25
271	32
272	40
273	34
274	23
275	488
276	30
277	148
278	35
279	2134
280	88
281	209
282	102
283	21
284	71
285	62
286	76
287	50
288	23
289	22
290	33
291	104
292	42
293	27
294	27
295	74
296	70
297	107
298	21
299	80
300	28
301	27
302	23
303	24
304	37
305	21
306	38
307	75
308	62
309	48
310	31
311	25
312	25
313	103
314	150
315	30
316	52
317	527
318	23
319	28
320	24
321	98
322	449
323	105
324	36
325	49
326	31
327	32
328	38
329	36
330	100
331	24
332	30
333	56
334	26
335	22
336	28
337	53
338	31
339	283
340	40
341	41
342	23
343	50
344	25
345	56
346	85
347	60
348	90
349	30
350	22
351	42
352	152
353	87
354	22
355	27
356	101
357	32
358	217
359	69
360	28
361	28
362	47
363	73
364	74
365	37
366	80
367	35
368	55
369	36
370	21
371	40
372	215
373	62
374	117
375	791
376	39
377	26
378	34
379	168
380	65
381	140
382	338
383	21
384	335
385	27
386	111
387	66
388	666
389	22
390	26
391	21
392	63
393	21
394	89
395	35
396	32
397	24
398	23
399	23
400	22
401	26
402	57
403	46
404	148
405	156
406	55
407	62
408	96
409	557
410	101
411	152
412	38
413	45
414	223
415	44
416	52
417	388
418	21
419	23
420	22
421	56
422	87
423	51
424	731
425	172
426	21
427	29
428	59
429	386
430	31
431	28
432	53
433	28
434	23
435	50
436	426
437	32
438	277
439	40
440	558
441	77
442	35
443	72
444	21
445	113
446	66
447	41
448	21
449	55
450	62
451	34
452	21
453	230
454	30
455	81
456	27
457	26
458	21
459	51
460	28
461	56
462	55
463	23
464	30
465	49
466	174
467	69
468	69
469	65
470	634
471	29
472	33
473	36
474	68
475	31
476	25
477	31
478	46
479	25
480	50
481	37
482	45
483	28
484	47
485	80
486	31
487	40
488	457
489	46
490	322
491	24
492	21
493	25
494	552
495	50
496	22
497	41
498	75
499	26
500	81
501	22
502	34
503	38
504	808
505	42
506	29
507	73
508	27
509	27
510	1380
511	79
512	43
513	50
514	49
515	66
516	40
517	61
518	51
519	152
520	67
521	57
522	22
523	81
524	71
525	31
526	361
527	24
528	37
529	24
530	30
531	47
532	23
533	44
534	71
535	47
536	62
537	67
538	26
539	205
540	79
541	24
542	51
543	22
544	38
545	44
546	22
547	73
548	75
549	21
550	59
551	47
552	37
553	47
554	49
555	69
556	49
557	60
558	39
559	22
560	451
561	25
562	80
563	30
564	54
565	26
566	105
567	34
568	25
569	34
570	44
571	31
572	22
573	23
574	26
575	36
576	25
577	28
578	109
579	105
580	21
581	23
582	26
583	56
584	34
585	39
586	95
587	45
588	32
589	32
590	55
591	23
592	24
593	27
594	584
595	58
596	33
597	54
598	51
599	33
600	56
601	22
602	21
603	37
604	223
605	1155
606	32
607	21
608	24
609	52
610	63
611	35
612	56
613	30
614	42
615	24
616	22
617	29
618	30
619	251
620	21
621	33
622	109
623	217
624	477
625	27
626	24
627	34
628	28
629	54
630	43
631	33
632	23
633	94
634	23
635	32
636	25
637	299
638	78
639	25
640	95
641	25
642	28
643	44
644	25
645	224
646	59
647	25
648	63
649	43
650	37
651	75
652	102
653	34
654	78
655	29
656	27
657	41
658	167
659	67
660	23
661	29
662	1049
663	23
664	31
665	29
666	36
667	30
668	71
669	77
670	79
671	40
672	26
673	37
674	23
675	33
676	21
677	82
678	31
679	393
680	41
681	25
682	182
683	25
684	171
685	31
686	106
687	26
688	32
689	26
690	29
691	30
692	97
693	34
694	59
695	124
696	168
697	86
698	22
699	133
700	77
701	38
702	80
703	149
704	88
705	82
706	31
707	47
708	22
709	25
710	42
711	157
712	134
713	60
714	35
715	80
716	38
717	787
718	27
719	40
720	22
721	32
722	79
723	105
724	25
725	39
726	60
727	379
728	171
729	60
730	29
731	151
732	69
733	215
734	167
735	22
736	31
737	251
738	30
739	36
740	24
741	21
742	59
743	48
744	56
745	28
746	22
747	272
748	41
749	29
750	1081
751	43
752	25
753	32
754	39
755	40
756	33
757	42
758	41
759	27
760	44
761	31
762	118
763	64
764	41
765	26
766	141
767	22
768	22
769	64
770	45
771	61
772	31
773	89
774	27
775	59
776	24
777	66
778	24
779	873
780	49
781	125
782	56
783	56
784	138
785	43
786	160
787	175
788	83
789	32
790	28
791	21
792	27
793	25
794	46
795	186
796	78
797	46
798	26
799	100
800	30
801	28
802	70
803	173
804	22
805	72
806	25
807	22
808	157
809	23
810	23
811	26
812	38
813	30
814	23
